Unemployment,Unemployment actual,RealGDP,RealGDP actual,Core CPI,Core CPI actual,Core PCE,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE
Unemployment,0.0,RealGDP,1.71142,Core CPI,1.99951403422141,Core PCE,1.55932373235605,0.55419344,1.8138368,1.9683679,1.7113314,0.19111111666666664,1.7204028750000007,1.9995140342214126,1.5694125678630375
Unemployment,8.93333333333333,RealGDP,2.24955,Core CPI,1.99951403422141,Core PCE,1.45028728412906,9.19718,2.1596074,1.8627015,1.3743765,9.035000000000005,2.2919596312499984,1.9958547038791985,1.4156835475684484
Unemployment,9.60833333333333,RealGDP,-2.53676,Core CPI,0.0,Core PCE,1.382284,8.179905,-0.835549,0.009072268,1.3402904,8.324305555555572,-1.8320085624999982,0.0,1.4552634999999994
Unemployment,0.0,RealGDP,1.84208,Core CPI,2.17432412557292,Core PCE,1.57823742497407,0.034424618,1.9248403,2.1397436,1.7271124,0.0,1.8217694375000029,2.1157403532103864,1.6680419904251107
Unemployment,5.275,RealGDP,1.7417,Core CPI,1.94900192417855,Core PCE,2.25317372895313,5.215777,1.991374,2.129573,2.0638456,5.215173611111098,1.8566465,2.0525221237746845,2.2416095623431787
Unemployment,3.891667,RealGDP,1.84208,Core CPI,1.742585,Core PCE,1.45028728412906,3.9039884,1.9154655,1.7328256,1.4109077,3.87737572351851,1.813824937500004,1.743559129241785,1.4524197864764743
Unemployment,5.275,RealGDP,0.99835,Core CPI,1.99951403422141,Core PCE,1.664742,5.2168565,0.8064693,2.028744,1.8236424,5.193240740740729,0.9849201874999988,2.008838958022357,1.6746736083333305
Unemployment,0.0,RealGDP,-3.48626,Core CPI,2.17432412557292,Core PCE,1.664742,-0.34779432,-3.470407,1.9015964,1.8061601,0.02046296111111111,-3.486260000000012,1.7989417162880414,1.6742692556432428
Unemployment,4.35,RealGDP,0.0,Core CPI,2.290573,Core PCE,1.55932373235605,4.385381,0.33204392,2.228424,1.3238456,4.350000000000014,0.0741848125,2.2154244416666637,1.4035692449628778
Unemployment,4.875,RealGDP,4.48141,Core CPI,0.645572526463334,Core PCE,1.52903905586508,4.0765615,4.561579,0.5599586,1.3593745,4.154537014814822,4.523883437499992,0.6566190297051397,1.2461450055640637
