DATE,GDPC1_PCH,GNP_PCH,GNPC96_PCH,CPILFESL,PCEPILFE,JHDUSRGDPBR,UNRATE,banana,beef,bread,chicken,coffee,eggs,electricity,flour,rice,unleadedGasoline
1984-10-01,0.82086,1.45984,0.71024,106.46666666666665,52.581333333333326,0.0,7.3,0.33033333333333337,1.27,0.5423333333333334,0.7626666666666667,2.601,0.844,0.07933333333333333,0.20766666666666667,0.47700000000000004,1.203
1985-01-01,0.96909,1.7715900000000002,0.77861,107.63333333333333,53.29866666666666,0.0,7.2333333333333325,0.37399999999999994,1.2830000000000001,0.5463333333333334,0.7713333333333333,2.6,0.7733333333333334,0.079,0.21233333333333335,0.47433333333333333,1.146
1985-04-01,0.88046,1.5672,0.90774,108.76666666666667,53.761333333333326,0.0,7.3,0.4043333333333334,1.2283333333333333,0.544,0.7566666666666667,2.6076666666666664,0.7506666666666666,0.08166666666666667,0.214,0.4713333333333333,1.2256666666666667
1985-07-01,1.52712,2.00599,1.39624,109.73333333333332,54.313333333333325,0.0,7.2,0.36166666666666664,1.204,0.5566666666666666,0.7573333333333334,2.5723333333333334,0.8109999999999999,0.085,0.21466666666666667,0.47233333333333327,1.229
1985-10-01,0.74329,1.37055,0.8033600000000001,111.0,54.703,0.0,7.033333333333333,0.3276666666666666,1.2346666666666666,0.566,0.7676666666666666,2.542333333333333,0.8793333333333333,0.08066666666666666,0.20666666666666667,0.4613333333333334,1.2063333333333333
1986-01-01,0.9335,1.35031,0.8532700000000001,112.2,55.29433333333333,0.0,7.033333333333333,0.37233333333333335,1.2683333333333333,0.5630000000000001,0.7679999999999999,3.343666666666667,0.8846666666666666,0.077,0.208,0.4546666666666667,1.0983333333333334
1986-04-01,0.45038,0.67948,0.29466,113.13333333333333,55.673,0.0,7.166666666666666,0.4336666666666667,1.1903333333333335,0.5640000000000001,0.7719999999999999,3.669,0.835,0.076,0.21033333333333334,0.45,0.922
1986-07-01,0.95703,1.42546,1.00026,114.2,56.055,0.0,6.966666666666667,0.3746666666666667,1.216,0.5666666666666665,0.919,3.4570000000000003,0.8713333333333333,0.08,0.21333333333333335,0.44333333333333336,0.8643333333333333
1986-10-01,0.53708,0.94633,0.39537,115.3,56.510666666666665,0.0,6.833333333333333,0.3586666666666667,1.2533333333333332,0.565,0.8809999999999999,3.261333333333333,0.8873333333333333,0.07333333333333332,0.20200000000000004,0.434,0.8249999999999998
1987-01-01,0.74517,1.43269,0.78018,116.23333333333332,56.865,0.0,6.6,0.376,1.283,0.5413333333333333,0.819,3.0796666666666668,0.8283333333333335,0.07566666666666666,0.205,0.40700000000000003,0.8929999999999999
1987-04-01,1.0789,1.853,1.14799,117.63333333333333,57.41633333333333,0.0,6.266666666666667,0.37600000000000006,1.3043333333333333,0.5383333333333334,0.7816666666666667,2.7930000000000006,0.7533333333333333,0.07866666666666666,0.206,0.3953333333333333,0.9443333333333334
1987-07-01,0.86761,1.61742,0.85104,118.73333333333332,57.93,0.0,6.0,0.36000000000000004,1.3193333333333332,0.547,0.7776666666666667,2.6663333333333337,0.7766666666666667,0.08433333333333333,0.21033333333333334,0.39633333333333337,0.9853333333333333
1987-10-01,1.71705,2.55709,1.7452599999999998,120.1,58.519,0.0,5.833333333333333,0.3546666666666667,1.333,0.5630000000000001,0.7610000000000001,2.6013333333333333,0.7720000000000001,0.07733333333333332,0.20033333333333334,0.4073333333333333,0.971
1988-01-01,0.51663,1.40586,0.61669,121.26666666666667,59.083666666666666,0.0,5.7,0.40066666666666667,1.3236666666666668,0.5863333333333333,0.746,2.6446666666666663,0.7393333333333333,0.078,0.20099999999999998,0.4586666666666667,0.9166666666666666
1988-04-01,1.31387,2.24566,1.25965,122.73333333333332,59.80033333333333,0.0,5.466666666666667,0.4486666666666667,1.3630000000000002,0.598,0.8079999999999999,2.721,0.7006666666666667,0.07933333333333333,0.20566666666666666,0.4923333333333333,0.9466666666666667
1988-07-01,0.5859300000000001,1.7292599999999998,0.5270699999999999,124.1,60.48866666666667,0.0,5.466666666666667,0.4063333333333334,1.3716666666666668,0.6190000000000001,0.9576666666666668,2.8193333333333332,0.8620000000000001,0.084,0.225,0.5053333333333333,0.976
1988-10-01,1.3325,2.24733,1.36848,125.6,61.165,0.0,5.333333333333333,0.417,1.4006666666666667,0.648,0.903,2.8906666666666667,0.8559999999999999,0.07866666666666666,0.22466666666666668,0.48133333333333334,0.9453333333333332
1989-01-01,1.0166,2.05595,0.9997,126.93333333333332,61.83233333333333,0.0,5.2,0.41966666666666663,1.399,0.653,0.9056666666666667,3.018333333333333,0.9540000000000001,0.079,0.2316666666666667,0.49066666666666664,0.9279999999999999
1989-04-01,0.76327,1.8158,0.73953,128.3,62.39433333333333,0.0,5.2333333333333325,0.508,1.4323333333333332,0.658,0.9583333333333334,3.1483333333333334,0.9633333333333333,0.08166666666666667,0.24166666666666667,0.4843333333333333,1.0993333333333333
1989-07-01,0.74088,1.51811,0.77928,129.53333333333333,62.859333333333325,0.0,5.2333333333333325,0.43933333333333335,1.4476666666666667,0.672,0.9533333333333333,3.1646666666666667,0.9940000000000001,0.08600000000000001,0.256,0.5143333333333334,1.0593333333333332
1989-10-01,0.19705,1.0206,0.30264,131.1,63.43433333333333,1.0,5.366666666666666,0.42766666666666664,1.4803333333333335,0.6793333333333335,0.8906666666666667,2.9593333333333334,1.0799999999999998,0.08066666666666666,0.249,0.5046666666666667,1.002
1990-01-01,1.09279,2.1492400000000003,1.05495,132.76666666666665,64.16533333333332,1.0,5.3,0.4736666666666667,1.5666666666666667,0.69,0.902,2.9243333333333332,1.125,0.081,0.25133333333333335,0.49300000000000005,1.0339999999999998
1990-04-01,0.36291,1.51521,0.38724,134.5,64.882,1.0,5.333333333333333,0.4633333333333334,1.5876666666666666,0.6836666666666668,0.9089999999999999,2.9333333333333336,0.9873333333333334,0.084,0.25466666666666665,0.4956666666666667,1.0643333333333334
1990-07-01,0.06652,0.84454,-0.01963,136.5,65.53766666666667,1.0,5.7,0.4856666666666667,1.5836666666666668,0.6993333333333333,0.912,3.0353333333333334,0.9329999999999999,0.08733333333333333,0.25466666666666665,0.49866666666666665,1.1893333333333334
1990-10-01,-0.91038,0.21461,-0.53652,138.06666666666666,66.08766666666666,1.0,6.133333333333333,0.4303333333333333,1.6113333333333333,0.7053333333333333,0.8736666666666667,2.972,1.0103333333333333,0.08233333333333333,0.2383333333333333,0.49833333333333335,1.3696666666666666
1991-01-01,-0.46784,0.32065,-0.65732,140.06666666666666,66.67433333333332,1.0,6.6,0.5,1.6296666666666668,0.7026666666666666,0.896,2.936666666666667,1.054,0.08433333333333333,0.238,0.49466666666666664,1.1573333333333335
1991-04-01,0.77972,1.32986,0.58937,141.33333333333331,67.188,0.0,6.833333333333333,0.5543333333333333,1.6130000000000002,0.7036666666666666,0.882,2.889666666666667,0.9313333333333333,0.08633333333333333,0.2363333333333333,0.5033333333333333,1.14
1991-07-01,0.5053,1.22862,0.4425199999999999,142.86666666666665,67.79333333333332,0.0,6.866666666666666,0.4546666666666666,1.5723333333333336,0.7103333333333333,0.8770000000000001,2.7403333333333335,0.9923333333333333,0.09066666666666667,0.2363333333333333,0.501,1.1366666666666667
1991-10-01,0.3485,1.07067,0.47381,144.2,68.327,0.0,7.1,0.41500000000000004,1.5653333333333332,0.7226666666666667,0.8663333333333333,2.6679999999999997,0.9793333333333333,0.08533333333333333,0.22366666666666668,0.5116666666666666,1.1263333333333334
